,age_days,condition,counterbalance,attn1,attn2,test,attn3,rachel_false_belief,diana_false_belief,allie_false_belief,num_speakers,coding_experience,smartphone_frequency,smart_speaker_frequency,voice_assistant_frequency,pass_attn1,pass_attn2,pass_attn3,pass_all_attn,chose_song_1
1,1594,Person,1,spider,wheels,spider,1,1,1,1,1,no experience with coding,About once a day,Several times a day,About once a day,1,1,1,1,1
2,3878,AI,2,wheels,spider,wheels,1,1,1,1,1,no experience with coding,Several times a day,NA,About once a day,1,1,1,1,1
3,4875,Person,3,spider,wheels,spider,1,1,1,1,1,no experience with coding,Several times a day,NA,Several times a day,1,1,1,1,1
4,4059,Person,2,wheels,spider,wheels,1,1,1,1,NA,NA,About once a week,About once a day,NA,1,1,1,1,1
5,2960,Person,3,spider,wheels,spider,1,1,1,1,2,no experience with coding,About once a day,About once a week,About once a day,1,1,1,1,1
6,2960,Person,3,spider,wheels,spider,1,0,0,1,NA,NA,About once a day,NA,About once a day,1,1,1,1,1
7,5202,Person,1,spider,wheels,spider,1,1,1,1,NA,NA,Several times a day,NA,About once a week,1,1,1,1,1
8,4984,Person,3,spider,wheels,spider,1,1,1,1,NA,NA,Several times a day,NA,NA,1,1,1,1,1
9,5451,AI,2,wheels,spider,spider,1,1,1,1,6,coding class at school,Several times a day,Several times a day,Several times a day,1,1,1,1,0
10,3062,AI,3,spider,wheels,spider,1,1,1,1,1,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a week,About once a week,About once a week,1,1,1,1,1
11,3736,Person,1,spider,wheels,spider,1,1,1,1,5,after school programs or camps related to coding,Several times a day,Several times a day,Several times a day,1,1,1,1,1
12,2385,AI,1,spider,wheels,wheels,1,0,0,0,3,after school programs or camps related to coding,About once a week,Less than once a week,Never,1,1,1,1,0
13,4166,Person,1,spider,wheels,spider,1,1,1,1,1,no experience with coding,About once a week,About once a day,About once a day,1,1,1,1,1
14,4034,Person,3,spider,wheels,spider,1,1,1,1,0,"coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Less than once a week,NA,1,1,1,1,1
15,1494,Person,3,spider,wheels,wheels,1,0,0,0,0,no experience with coding,Several times a day,Never,Never,1,1,1,1,0
16,1390,Person,2,wheels,spider,wheels,1,0,1,0,0,no experience with coding,Never,Never,Never,1,1,1,1,1
17,1809,AI,3,spider,wheels,spider,1,0,0,0,0,no experience with coding,Less than once a week,Never,Never,1,1,1,1,1
18,4825,AI,2,wheels,spider,spider,1,1,1,1,2,coding class at school,About once a day,About once a week,About once a week,1,1,1,1,0
19,2909,Person,2,wheels,spider,wheels,1,1,1,1,NA,NA,About once a day,NA,NA,1,1,1,1,1
20,1164,Person,3,spider,wheels,spider,1,0,0,0,0,no experience with coding,About once a day,Never,Never,1,1,1,1,1
21,1326,AI,2,wheels,spider,wheels,1,0,0,0,0,no experience with coding,About once a week,Never,Never,1,1,1,1,1
22,2135,Person,3,spider,wheels,spider,1,0,0,0,3,no experience with coding,Never,About once a week,Never,1,1,1,1,1
23,4866,AI,3,spider,wheels,spider,1,1,1,1,1,coding class at school,Several times a day,Less than once a week,NA,1,1,1,1,1
24,2462,AI,4,wheels,spider,wheels,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1
25,3351,Person,4,wheels,spider,wheels,1,1,1,1,NA,NA,About once a day,NA,Several times a day,1,1,1,1,1
26,1485,Person,1,spider,wheels,spider,1,0,0,0,2,no experience with coding,About once a day,Never,Never,1,1,1,1,1
27,3811,AI,3,spider,wheels,wheels,1,1,1,1,0,no experience with coding,Less than once a week,NA,NA,1,1,1,1,0
28,4876,AI,4,wheels,spider,spider,1,0,0,0,6,coding class at school,Several times a day,About once a day,NA,1,1,1,1,0
29,3765,Person,3,spider,wheels,spider,1,1,1,1,1,after school programs or camps related to coding,About once a day,About once a day,About once a day,1,1,1,1,1
30,3000,AI,1,spider,wheels,wheels,1,1,1,1,0,"coding class at school,after school programs or camps related to coding,coding apps at home (e.g., Osmo, Scratch, Kodable)",About once a day,Never,About once a day,1,1,1,1,0
31,1520,Person,4,wheels,spider,spider,1,0,0,0,1,no experience with coding,About once a week,Several times a day,Several times a day,1,1,1,1,0
32,3831,Person,4,wheels,spider,wheels,1,1,1,1,7,"coding apps at home (e.g., Osmo, Scratch, Kodable)",Several times a day,Several times a day,NA,1,1,1,1,1
33,2816,Person,3,spider,wheels,spider,1,1,1,1,0,after school programs or camps related to coding,Several times a day,NA,NA,1,1,1,1,1
34,1098,AI,1,spider,wheels,spider,1,0,0,0,1,no experience with coding,About once a week,About once a day,About once a day,1,1,1,1,1
35,1579,Person,2,wheels,spider,wheels,1,1,0,0,NA,no experience with coding,About once a week,Several times a day,Several times a day,1,1,1,1,1
